Command finished with exit code 0.
Command output:
## 11. TODO — Step-by-Step Implementation Tracker

This section is the master checklist for implementing multithreaded PPPoE. Each task includes:
- **Status:** `NOT STARTED` | `IN PROGRESS` | `COMPLETED`
- **Owner:** Who is working on it
- **Start Date:** When work began
- **End Date:** When work finished
- **Dependencies:** What must be done first
- **Files Modified:** What files are touched
- **Notes:** Any blockers, decisions, or context

### Phase 0: Foundation and Setup

| # | Task | Status | Owner | Start | End | Dependencies | Files | Notes |
| 1.24 | Test max_workers hard cap | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.21 | `ng_pppoe_lb.c` | Constructor enforces: max_workers = min(user_value, mp_ncpus) |
| 1.25 | Code review and cleanup | IN PROGRESS | | 2026-04-23 | | 1.24 | | Style, comments, locking correctness |

### Phase 2: Userland Daemon (`pppoed`)

| # | Task | Status | Owner | Start | End | Dependencies | Files | Notes |
|---|------|--------|-------|-------|-----|--------------|-------|-------|
| 2.1 | Add `-w <workers>` flag parsing | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.1 | `pppoed.c` | Default 1 (backward compatible) |
| 2.2 | Add `-L` flag parsing | COMPLETED | | 2026-04-23 | 2026-04-23 | 2.1 | `pppoed.c` | Enable load balancer |
| 2.3 | Add `-A <algorithm>` flag parsing | COMPLETED | | 2026-04-23 | 2026-04-23 | 2.2 | `pppoed.c` | round-robin, hash, least-loaded |
| 2.4 | Add `-G <max_workers>` flag parsing | COMPLETED | | 2026-04-23 | 2026-04-23 | 2.3 | `pppoed.c` | Governor hard cap (0=auto/mp_ncpus, >0=hard cap limited by mp_ncpus) |
| 2.5 | Implement worker node creation | COMPLETED | | 2026-04-23 | 2026-04-23 | 2.4 | `pppoed.c` | Create N `ng_pppoe` nodes |
| 2.6 | Implement load balancer setup | COMPLETED | | 2026-04-23 | 2026-04-23 | 2.5 | `pppoed.c` | Create `ng_pppoe_lb`, connect workers |
| 2.7 | Implement graceful shutdown | COMPLETED | | 2026-04-23 | 2026-04-23 | 2.6 | `pppoed.c` | Drain sessions, disconnect, cleanup |
| 2.8 | Update `pppoed.8` man page | COMPLETED | | 2026-04-23 | 2026-04-23 | 2.3 | `pppoed.8` | Document new flags `-L`, `-w`, `-A`, `-G`, multithreaded mode, CPU governor |
| 2.9 | Update `libexec/rc/rc.d/pppoed` | COMPLETED | | 2026-04-23 | 2026-04-23 | 2.1 | `rc.d/pppoed` | Handle `pppoed_workers`, `pppoed_loadbalancer`, `pppoed_algorithm`, `pppoed_governor_max` |
| 2.10 | Update `libexec/rc/rc.conf` defaults | COMPLETED | | 2026-04-23 | 2026-04-23 | 2.9 | `rc.conf.5` | Added `pppoed_loadbalancer`, `pppoed_workers`, `pppoed_algorithm`, `pppoed_governor_max` variables |
| 2.11 | Add `pppoed_max_workers` rc.conf variable | COMPLETED | | 2026-04-23 | 2026-04-23 | 2.4 | `rc.conf.5` | Governor hard cap for startup script (via `pppoed_governor_max`) |
| 2.12 | Test `pppoed` in single-worker mode | NOT STARTED | | | | 2.8 | | Must behave identically to before |
| 2.13 | Test `pppoed` in multi-worker mode | NOT STARTED | | | | 2.12 | | Verify session distribution |
| 2.14 | Test `pppoed` with governor enabled | NOT STARTED | | | | 2.13 | | Verify `-G` cap respected |

### Phase 3: Monitoring and Diagnostics

| # | Task | Status | Owner | Start | End | Dependencies | Files | Notes |
|---|------|--------|-------|-------|-----|--------------|-------|-------|
| 3.1 | Add `ngctl show pppoe_lb` command | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.5 | `usr.sbin/ngctl/pppoe_lb.c` | Display stats, workers, algorithm |
| 3.2 | Add `ngctl pppoe_lb config` command | COMPLETED | | 2026-04-23 | 2026-04-23 | 3.1 | `usr.sbin/ngctl/pppoe_lb.c` | Runtime reconfiguration |
| 3.3 | Add `ngctl pppoe_lb stats` command | COMPLETED | | 2026-04-23 | 2026-04-23 | 3.1 | `usr.sbin/ngctl/pppoe_lb.c` | Display detailed statistics |
| 3.4 | Add `ngctl pppoe_lb map` command | COMPLETED | | 2026-04-23 | 2026-04-23 | 3.1 | `usr.sbin/ngctl/pppoe_lb.c` | Display session-to-worker mapping |
| 3.5 | Update `ngctl.h` for new commands | COMPLETED | | 2026-04-23 | 2026-04-23 | 3.1 | `usr.sbin/ngctl/ngctl.h` | Declare new command structs |
| 3.6 | Update `ngctl/Makefile` | COMPLETED | | 2026-04-23 | 2026-04-23 | 3.1 | `usr.sbin/ngctl/Makefile` | Add pppoe_lb.c to SRCS |
| 3.7 | Update `ngctl.8` man page | COMPLETED | | 2026-04-23 | 2026-04-23 | 3.2 | `ngctl.8` | Document `pppoe_lb show`, `config`, `stats`, `map` subcommands |
| 3.8 | Add `netstat -W` flag | NOT STARTED | | | | 1.5 | `netstat.c` | Query `NGM_PPPOE_LB_GET_STATS` |
| 3.9 | Update `netstat.1` man page | NOT STARTED | | | | 3.8 | `netstat.1` | Document `-W` flag |
| 3.10 | Add `ifconfig pppoe_workers` option | NOT STARTED | | | | 1.5 | `ifconfig.c` | Get/set worker count |
| 3.11 | Update `ifconfig.8` man page | NOT STARTED | | | | 3.10 | `ifconfig.8` | Document option |
| 3.12 | Add `pppctl show pppoe lb` command | NOT STARTED | | | | 3.1 | `pppctl.c` | Client-side diagnostics |
| 3.13 | Update `pppctl.8` man page | NOT STARTED | | | | 3.12 | `pppctl.8` | Document new command |

### Phase 4: PPP Daemon (`ppp`) Client-Side

| # | Task | Status | Owner | Start | End | Dependencies | Files | Notes |
|---|------|--------|-------|-------|-----|--------------|-------|-------|
| 4.1 | Add `set pppoe workers <n>` command | NOT STARTED | | | | 1.1 | `command.c` | Client-side hint |
| 4.2 | Add `show pppoe workers` command | NOT STARTED | | | | 4.1 | `command.c` | Display worker info |
| 4.3 | Update `ether.c` for load balancer messages | NOT STARTED | | | | 1.5 | `ether.c` | Handle `NGM_PPPOE_LB_GET_STATS` |
| 4.4 | Update `ppp.8` man page | NOT STARTED | | | | 4.2 | `ppp.8` | Document new commands |

### Phase 5: Optional Per-Session Locking in `ng_pppoe`

| # | Task | Status | Owner | Start | End | Dependencies | Files | Notes |
|---|------|--------|-------|-------|-----|--------------|-------|-------|
| 5.1 | Add per-session `struct mtx` to `sess_con` | NOT STARTED | | | | 1.18 | `ng_pppoe.c` | Higher risk; defer until Phase 1-2 stable |
| 5.2 | Replace node-level serialization with per-session locks | NOT STARTED | | | | 5.1 | `ng_pppoe.c` | Data path only |
| 5.3 | Test for deadlocks and race conditions | NOT STARTED | | | | 5.2 | | Extensive stress testing required |
| 5.4 | Benchmark performance improvement | NOT STARTED | | | | 5.3 | | Compare to Phase 1-2 results |

### Phase 6: Documentation and Release

| # | Task | Status | Owner | Start | End | Dependencies | Files | Notes |
|---|------|--------|-------|-------|-----|--------------|-------|-------|
| 6.1 | Write `ng_pppoe_lb.4` man page | COMPLETED | | 2026-04-23 | 2026-04-23 | 1.18 | `ng_pppoe_lb.4` | Complete kernel node documentation with hooks, control messages, algorithms, governor, sysctl variables, examples |
| 6.2 | Update `ng_pppoe.4` man page | NOT STARTED | | | | 1.18 | `ng_pppoe.4` | Mention load balancer integration |
| 6.3 | Update `RELNOTES` | NOT STARTED | | | | 2.11 | `RELNOTES` | Summarize feature for release |
| 6.4 | Update `UPDATING` | NOT STARTED | | | | 2.11 | `UPDATING` | Any admin-visible changes |
| 6.5 | Final code review | NOT STARTED | | | | 6.4 | | All phases complete |
| 6.6 | Merge to `main` | NOT STARTED | | | | 6.5 | | After approval |

---

## 12. Future Enhancements

1. **Dynamic worker scaling:** Add/remove workers based on load
2. **Per-worker CPU affinity:** Pin workers to specific CPU cores
3. **Session migration:** Move sessions between workers for load balancing
4. **DPDK integration:** Use DPDK for packet I/O in high-performance scenarios
5. **NUMA awareness:** Optimize for multi-socket systems
6. **eBPF-based load balancing:** Explore eBPF for packet distribution

---

## 13. Conclusion
